"Topic","Topic (short)","Program","Agency","Agency (short)","Program Type","Intended Population","Funding Recipient(s)","Funding Flow (if includes grantees and subgrantees)","Funding Level","Tool Tip for Funding level"
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","State Small Business Credit Initiative","U.S. Department of Treasury","Treasury","Federal transfer program, Categorical grant","Historically underutilized businesses/businesses","State govts, Tribal govts/territories","Federal to state, Federal to tribal/territorial, Federal to jurisdiction to subgrantees to businesses","10000000000",NA
"Investing in Equity and Opportunity for our Children and Young Adults","Education","Individuals with Disabilities Education Act","U.S. Department of Education","ED","Entitlement program","People with disabilities","State govts, Local govts, Tribal govts/territories","State to local","3030000000","This is the total funding across IDEA Part B Grants to States (Section 611), IDEA Part B Preschool Grants (Section 619), and IDEA Part C Grants for Infants and Families."
"Investing in Equity and Opportunity for our Children and Young Adults","Education","Elementary and Secondary School Emergency Relief Fund","U.S. Department of Education","ED","Entitlement program","Low-income persons/families, Minoritized groups","State govts, Local govts","State to local","189500000000",NA
"Investing in Equity and Opportunity for our Children and Young Adults","Education","Higher Education Emergency Relief Fund","U.S. Department of Education","ED","Discretionary grant","Low-income persons/families, Students at colleges and universities","Individuals, Institutions of higher education","Federal to grantee/awardee","39584570000",NA
"Investing in Equity and Opportunity for our Children and Young Adults","Education","Extension and Expansion of Pandemic EBT","U.S. Department of Agriculture","USDA","Entitlement program","Low-income persons/families, Minoritized groups","State govts","State to individual","N/A",NA
"Investing in Equity and Opportunity for our Children and Young Adults","Education","Investments in AmeriCorps","AmeriCorps","AmeriCorps","Discretionary grant","Low-income persons/families, Minoritized groups, Historically underutilized businesses/businesses","Service orgs/non-profits, Local govts, Tribal govts/territories, Communities, State govts","State to local, State to local to individual or organization","852000000",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","Child Care Stabilization","U.S. Department of Health and Human Services","HHS","Formula grant","Low-income persons/families, Minoritized groups","Businesses, Individuals, Service orgs/non-profits","State to individual","23975000000",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","Enhancements of the Child Tax Credit","U.S. Department of Treasury","Treasury","Tax incentive","Low-income persons/families","Families","Direct to individual","N/A",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","COVID-19 Funeral Assistance","Federal Emergency Management Agency","FEMA","Entitlement program","Low-income persons/families, Minoritized groups","Individuals, Families","Direct to individual","N/A",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","Unemployment Insurance","U.S. Department of Labor","DOL","Discretionary grant","Minoritized groups, Low-income persons/families, People with disabilities","State govts","Federal to state","1000000000",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","The Earned Income Tax Credit for Workers without Dependent Children","U.S. Department of Treasury","Treasury","Tax incentive","Low-income persons/families","Individuals, Families","Direct to individual","N/A",NA
"Lowering Barriers to Work and Providing Security to Working Families","Working families","Permanent Expansion of Tax Relief to Puerto Rico Families","U.S. Department of Treasury","Treasury","Tax incentive","Low-income persons/families","Tribal govts/territories, Families, Individuals","State to individual","N/A",NA
"Securing Dignified Housing and Living Conditions","Housing","Housing Assistance and Supportive Services for Native Americans and Native Hawaiians","U.S. Department of Housing and Urban Development","HUD","Block grant","Minoritized groups","Individuals, Families, Service orgs/non-profits","Federal to tribal/territorial to individual","750000000",NA
"Securing Dignified Housing and Living Conditions","Housing","Emergency Rental Assistance","U.S. Department of Treasury","Treasury","Federal financial assistance","Low-income persons/families","Individuals, Families","State to local to individual or organization","46500000000",NA
"Securing Dignified Housing and Living Conditions","Housing","Homeowner Assistance Fund","U.S. Department of Treasury","Treasury","Federal financial assistance","Low-income persons/families","State govts, Tribal govts/territories","State to individual","9961000000",NA
"Securing Dignified Housing and Living Conditions","Housing","Emergency Housing Vouchers","U.S. Department of Housing and Urban Development","HUD","Direct payment for specified use","Unhoused (homeless) individuals, Low-income persons/families, Survivors of domestic violence and sexual assault","Local govts, Service orgs/non-profits","State to local to individual or organization","5000000000",NA
"Securing Dignified Housing and Living Conditions","Housing","Low Income Home Energy Assistance Program","U.S. Department of Health and Human Services","HHS","Block grant","Low-income persons/families, People with disabilities, Older people, Infants and children","Individuals, Families","State to local to individual or organization","4500000000",NA
"Securing Dignified Housing and Living Conditions","Housing","Funding for Water Assistance Program","U.S. Department of Health and Human Services","HHS","Block grant","Low-income persons/families, People with disabilities, Infants and children, Older people","State govts, Tribal govts/territories","Federal to grantee/awardee","500000000",NA
