Agency,Business,Evaluation Type,Evaluation Type1 (group),Evaluation Type1 (group) 1,Family/Household,Filter Funding recipient,Filter programs,Funding Flow,Funding Flow title,Funding Level1,Funding Recipient,Individual,Intended Population,Label for Funding Recipient,Local Government,MeasureLabel,Other,ProgCharBFilter,Program,Program Type,Recipient,Service Organization,State Government,Topic,Total Funding Label,Tribal Government,Updated Funding Recipient,Updated Program Description,number of programs
U.S. Department of Housing and Urban Development,Business,Outcome,Outcome,Outcome,0,True,Category 3,Category 1,Funding Flow,"$5,000,000,000",Business,0,Category 3,Funding Recipient,0,1,0,Outcome,Emergency Housing Vouchers,Category 3,False,0,0,Securing Dignified Housing and Living Conditions,Total Funding,0,Business,"Emergency Housing Vouchers (EHVs) are a form of tenant-based rental assistance under section 8(o) of the United States Housing Act of 1937 (42 U.S.C. 1437f(o)) administered by Public Housing Authorities (PHAs). PHAs are locally governed quasi-governmental organizations (sometimes state-wide or Tribal) that administer federal rental assistance programs. Section 3202 of the American Rescue Plan (ARP) Act, appropriated $5 billion to the U.S. Department of Housing and Urban Development (HUD) to create approximately 70,000 new incremental housing vouchers known as EHVs and to cover the annual costs of those EHVs each year the household remains in the program or a new household joins the program if the voucher turns over before September 30, 2023. 

Funding also provided PHAs with administrative fees to cover the cost of administering EHVs and service fees to cover costs such as security deposit, housing search assistance, moving expenses for households and financial incentives for landlords beyond the monthly rent. These fees were greater than the fees available to PHAs for regular Housing Choice Vouchers. EHVs targeted individuals and families who were experiencing homelessness, at high risk of experiencing homelessness, or fleeing domestic violence. To receive EHVs, PHAs signed memoranda of understanding (MOUs) with the local Continuum of Care (CoC), and EHV referrals came primarily through a local CoC’s coordinated entry (CE) system or through other direct referral partners such as Victim Service Providers (VSPs). EHVs included flexibilities different from HUD’s regular HCV program to expedite and facilitate the use of the EHV funding.",1
U.S. Department of Housing and Urban Development,Business,Implementation,Implementation,Implementation,0,True,Category 3,Category 2,Funding Flow,"$5,000,000,000",Business,0,Category 3,Funding Recipient,0,1,0,Implementation,Emergency Housing Vouchers,Category 3,False,0,0,Securing Dignified Housing and Living Conditions,Total Funding,0,Business,"Emergency Housing Vouchers (EHVs) are a form of tenant-based rental assistance under section 8(o) of the United States Housing Act of 1937 (42 U.S.C. 1437f(o)) administered by Public Housing Authorities (PHAs). PHAs are locally governed quasi-governmental organizations (sometimes state-wide or Tribal) that administer federal rental assistance programs. Section 3202 of the American Rescue Plan (ARP) Act, appropriated $5 billion to the U.S. Department of Housing and Urban Development (HUD) to create approximately 70,000 new incremental housing vouchers known as EHVs and to cover the annual costs of those EHVs each year the household remains in the program or a new household joins the program if the voucher turns over before September 30, 2023. 

Funding also provided PHAs with administrative fees to cover the cost of administering EHVs and service fees to cover costs such as security deposit, housing search assistance, moving expenses for households and financial incentives for landlords beyond the monthly rent. These fees were greater than the fees available to PHAs for regular Housing Choice Vouchers. EHVs targeted individuals and families who were experiencing homelessness, at high risk of experiencing homelessness, or fleeing domestic violence. To receive EHVs, PHAs signed memoranda of understanding (MOUs) with the local Continuum of Care (CoC), and EHV referrals came primarily through a local CoC’s coordinated entry (CE) system or through other direct referral partners such as Victim Service Providers (VSPs). EHVs included flexibilities different from HUD’s regular HCV program to expedite and facilitate the use of the EHV funding.",1
U.S. Department of Treasury,0,Outcome,Outcome,Outcome,0,True,Category 1,Category 1,Funding Flow,"$21,550,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Outcome,Emergency Rental Assistance,Category 4,False,Service Organization,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory, Service Organization [60]","The Emergency Rental Assistance (ERA) program was created to assist renters facing financial hardships and housing instability due to the COVID 19 pandemic. It provided rental and utility assistance, other housing expenses, and housing stability services to low-income households impacted by the pandemic. 

The ERA program had two phases: ERA 1 was funded under the Coronavirus Response and Relief Supplemental Appropriations Act, 2021 (CRRSAA) and ERA 2 was included in Section 3201 of the American Rescue Plan Act of 2021. ERA2 was designed to further reduce barriers to access based on the lessons learned from ERA1 implementation and was rolled out, in many cases, while ERA1 was still being implemented.",1
U.S. Department of Treasury,0,Implementation,Implementation,Implementation,0,True,Category 1,Category 1,Funding Flow,"$21,550,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Implementation,Emergency Rental Assistance,Category 4,False,Service Organization,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory, Service Organization [60]","The Emergency Rental Assistance (ERA) program was created to assist renters facing financial hardships and housing instability due to the COVID 19 pandemic. It provided rental and utility assistance, other housing expenses, and housing stability services to low-income households impacted by the pandemic. 

The ERA program had two phases: ERA 1 was funded under the Coronavirus Response and Relief Supplemental Appropriations Act, 2021 (CRRSAA) and ERA 2 was included in Section 3201 of the American Rescue Plan Act of 2021. ERA2 was designed to further reduce barriers to access based on the lessons learned from ERA1 implementation and was rolled out, in many cases, while ERA1 was still being implemented.",1
U.S. Department of Treasury,0,Outcome,Outcome,Outcome,0,True,Category 1,Category 2,Funding Flow,"$21,550,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Outcome,Emergency Rental Assistance,Category 4,False,Service Organization,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory, Service Organization [60]","The Emergency Rental Assistance (ERA) program was created to assist renters facing financial hardships and housing instability due to the COVID 19 pandemic. It provided rental and utility assistance, other housing expenses, and housing stability services to low-income households impacted by the pandemic. 

The ERA program had two phases: ERA 1 was funded under the Coronavirus Response and Relief Supplemental Appropriations Act, 2021 (CRRSAA) and ERA 2 was included in Section 3201 of the American Rescue Plan Act of 2021. ERA2 was designed to further reduce barriers to access based on the lessons learned from ERA1 implementation and was rolled out, in many cases, while ERA1 was still being implemented.",1
U.S. Department of Treasury,0,Implementation,Implementation,Implementation,0,True,Category 1,Category 1,Funding Flow,"$21,550,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Implementation,Emergency Rental Assistance,Category 4,False,Service Organization,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory, Service Organization [60]","The Emergency Rental Assistance (ERA) program was created to assist renters facing financial hardships and housing instability due to the COVID 19 pandemic. It provided rental and utility assistance, other housing expenses, and housing stability services to low-income households impacted by the pandemic. 

The ERA program had two phases: ERA 1 was funded under the Coronavirus Response and Relief Supplemental Appropriations Act, 2021 (CRRSAA) and ERA 2 was included in Section 3201 of the American Rescue Plan Act of 2021. ERA2 was designed to further reduce barriers to access based on the lessons learned from ERA1 implementation and was rolled out, in many cases, while ERA1 was still being implemented.",1
U.S. Department of Treasury,0,Outcome,Outcome,Outcome,0,True,Category 1,Category 2,Funding Flow,"$21,550,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Outcome,Emergency Rental Assistance,Category 4,False,Service Organization,State Government,Securing Dignified Housing and Living Conditions,Total Funding,Tribal Government,"State Government, Tribal Government/Territory, Service Organization [60]","The Emergency Rental Assistance (ERA) program was created to assist renters facing financial hardships and housing instability due to the COVID 19 pandemic. It provided rental and utility assistance, other housing expenses, and housing stability services to low-income households impacted by the pandemic. 

The ERA program had two phases: ERA 1 was funded under the Coronavirus Response and Relief Supplemental Appropriations Act, 2021 (CRRSAA) and ERA 2 was included in Section 3201 of the American Rescue Plan Act of 2021. ERA2 was designed to further reduce barriers to access based on the lessons learned from ERA1 implementation and was rolled out, in many cases, while ERA1 was still being implemented.",1
U.S. Department of Treasury,Business,Unsure,Unsure,Unsure,0,True,Category 3,Category 2,Funding Flow,,"Individuals, Families, Businesses, Service organizations",Individual,Category 3,Funding Recipient,0,1,0,Unsure,Enhancements of the Child Tax Credit,Category 6,True,Service Organization,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individuals, Families, Businesses, Service organizations","For the 2021 tax year only, the American Rescue Plan (ARP) made multiple changes to the federal Child Tax Credit (CTC) (and the refundable Additional Child Tax Credit (ACTC)) in order to increase total benefits received by families during the COVID-19 pandemic, especially families with lower incomes. The CTC was made fully refundable with the ACTC, meaning that families could receive the full amount of the credit even if their federal tax liability was less than the value of the credit. Before 2021, families with insufficient tax liability or income were not eligible for the full amount of the CTC, but could claim some part of that unclaimed CTC through the refundable ACTC, which provides a refundable credit for many of these families, up to a maximum amount depending on their total taxable income. 

Under ARP, the maximum amount of CTC was increased substantially, from $2,000 per qualifying child in 2020, to $3,000 per qualifying child between the ages of 6 and 17, and $3,600 per qualifying child under age 6. (This boost phased out with modified adjusted gross income (AGI) in excess of $150,000 for married joint filers and surviving spouses, $112,500 for head of household filers, and $75,000 for all other filers.) Additionally, eligibility for the benefit was expanded to include children who were 17 years old.  Lastly, families could receive up to half of their estimated 2021 CTC benefit as advance monthly payments from July through December 2021 and could claim any remaining amount on their 2021 tax return, rather than receiving the CTC in full in the subsequent calendar year at tax filing time.

The temporary shift to a fully refundable credit was especially valuable for families with low incomes or earnings. In prior years, families with lower incomes (and therefore lower taxes) did not receive the full value of their credit because the value of the CTC was limited by the level of their federal tax liability, and the ACTC was limited to the lesser of (i) 15 percent of earnings in excess of $2,500 up to the amount of any unclaimed CTC, or (ii) $1,600 per child. By making the CTC fully refundable for 2021, families with low incomes/earnings were provided with the full value of the increased CTC and, for some families, it was the first time they could receive any benefit through the CTC. ",1
U.S. Department of Treasury,Business,Unsure,Unsure,Unsure,0,True,Category 3,Category 3,Funding Flow,,"Individuals, Families, Businesses, Service organizations",Individual,Category 3,Funding Recipient,0,1,0,Unsure,Enhancements of the Child Tax Credit,Category 6,True,Service Organization,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individuals, Families, Businesses, Service organizations","For the 2021 tax year only, the American Rescue Plan (ARP) made multiple changes to the federal Child Tax Credit (CTC) (and the refundable Additional Child Tax Credit (ACTC)) in order to increase total benefits received by families during the COVID-19 pandemic, especially families with lower incomes. The CTC was made fully refundable with the ACTC, meaning that families could receive the full amount of the credit even if their federal tax liability was less than the value of the credit. Before 2021, families with insufficient tax liability or income were not eligible for the full amount of the CTC, but could claim some part of that unclaimed CTC through the refundable ACTC, which provides a refundable credit for many of these families, up to a maximum amount depending on their total taxable income. 

Under ARP, the maximum amount of CTC was increased substantially, from $2,000 per qualifying child in 2020, to $3,000 per qualifying child between the ages of 6 and 17, and $3,600 per qualifying child under age 6. (This boost phased out with modified adjusted gross income (AGI) in excess of $150,000 for married joint filers and surviving spouses, $112,500 for head of household filers, and $75,000 for all other filers.) Additionally, eligibility for the benefit was expanded to include children who were 17 years old.  Lastly, families could receive up to half of their estimated 2021 CTC benefit as advance monthly payments from July through December 2021 and could claim any remaining amount on their 2021 tax return, rather than receiving the CTC in full in the subsequent calendar year at tax filing time.

The temporary shift to a fully refundable credit was especially valuable for families with low incomes or earnings. In prior years, families with lower incomes (and therefore lower taxes) did not receive the full value of their credit because the value of the CTC was limited by the level of their federal tax liability, and the ACTC was limited to the lesser of (i) 15 percent of earnings in excess of $2,500 up to the amount of any unclaimed CTC, or (ii) $1,600 per child. By making the CTC fully refundable for 2021, families with low incomes/earnings were provided with the full value of the increased CTC and, for some families, it was the first time they could receive any benefit through the CTC. ",1
U.S. Department of Agriculture,0,Unsure,Unsure,Unsure,Family/Household,True,Category 3,Category 1,Funding Flow,,"Individual, Family/Household",Individual,Category 3,Funding Recipient,0,1,0,Unsure,Extension and Expansion of Pandemic EBT,Category 4,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family ","The Pandemic EBT (P-EBT) program distributed cash benefits on EBT (electronic benefit transfer) cards, redeemable for food, to households with children whose access to meals at school or through their child care providers was compromised due to the closure or reduced operating hours of those institutions. The Families First Coronavirus Response Act (FFCRA) created P-EBT as an option for states to provide a Supplemental Nutrition Assistance Program (SNAP)-like benefit, when a school is closed for five or more days, to households with children who would have received free or reduced-price meals if not for the closure. 

Though the program expired September 30, 2020, it was extended shortly thereafter in the FY2021 Continuing Appropriations Act. This Continuing Appropriations Act also expanded the P-EBT benefits to children in child care effective October 1, 2020. This law funded the expanded P-EBT program through FY2021, and then the American Rescue Plan (ARP) removed date limits to the program, instead authorizing P-EBT for any school year in which there is a COVID-19 public health emergency declaration. ARP also amended the program to allow operation for up to 90 calendar days during summer months and allowed territories that do not operate the SNAP to provide P-EBT to children in child care. ",1
U.S. Department of Agriculture,0,Unsure,Unsure,Unsure,Family/Household,True,Category 3,Category 2,Funding Flow,,"Individual, Family/Household",Individual,Category 3,Funding Recipient,0,1,0,Unsure,Extension and Expansion of Pandemic EBT,Category 4,True,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,"Individual, Family ","The Pandemic EBT (P-EBT) program distributed cash benefits on EBT (electronic benefit transfer) cards, redeemable for food, to households with children whose access to meals at school or through their child care providers was compromised due to the closure or reduced operating hours of those institutions. The Families First Coronavirus Response Act (FFCRA) created P-EBT as an option for states to provide a Supplemental Nutrition Assistance Program (SNAP)-like benefit, when a school is closed for five or more days, to households with children who would have received free or reduced-price meals if not for the closure. 

Though the program expired September 30, 2020, it was extended shortly thereafter in the FY2021 Continuing Appropriations Act. This Continuing Appropriations Act also expanded the P-EBT benefits to children in child care effective October 1, 2020. This law funded the expanded P-EBT program through FY2021, and then the American Rescue Plan (ARP) removed date limits to the program, instead authorizing P-EBT for any school year in which there is a COVID-19 public health emergency declaration. ARP also amended the program to allow operation for up to 90 calendar days during summer months and allowed territories that do not operate the SNAP to provide P-EBT to children in child care. ",1
